text,timestamp,concept_name,explanation_of_concept,education_level
what is your main bone of contention with Eric Weinstein uh you should probably ask Eric that sean has been nothing but civil he's also extremely nasty so let me say a bunch of things to Dr carol dr carol I'd like to hear your explanation for three generations of flavored chyro firmians with the observed quantum numbers under the group SU3 plus SU2 SU1 i have read Eric's paper here it is i actually have it here it's worse than you would think how dare you how dare I read your paper i highly advise you to spend more time in your,0:00-0:26,SU3 group,"A Lie group used in particle physics to describe the strong nuclear force, specifically the symmetry of quarks and gluons.",Graduate
what is your main bone of contention with Eric Weinstein uh you should probably ask Eric that sean has been nothing but civil he's also extremely nasty so let me say a bunch of things to Dr carol dr carol I'd like to hear your explanation for three generations of flavored chyro firmians with the observed quantum numbers under the group SU3 plus SU2 SU1 i have read Eric's paper here it is i actually have it here it's worse than you would think how dare you how dare I read your paper i highly advise you to spend more time in your,0:00-0:26,SU2 SU1 groups,"Subgroups of the SU3 group, describing the electroweak force and the strong nuclear force respectively.",Graduate
what is your main bone of contention with Eric Weinstein uh you should probably ask Eric that sean has been nothing but civil he's also extremely nasty so let me say a bunch of things to Dr carol dr carol I'd like to hear your explanation for three generations of flavored chyro firmians with the observed quantum numbers under the group SU3 plus SU2 SU1 i have read Eric's paper here it is i actually have it here it's worse than you would think how dare you how dare I read your paper i highly advise you to spend more time in your,0:00-0:26,Quantum numbers,"Properties used to describe the behavior of subatomic particles, such as spin, charge, and isospin.",Undergraduate
physics department and less time on YouTube so we're not allowed to think about Eric's theory and write a follow-up paper about it and although you're very much Sean I have my disagreements with string theorists my agreements with them but I respect it and I think that they're trying their best the first rule of physics fight club is don't talk about the problems with physics fight club i have found myself in the awkward and unenviable position of defending the establishment heterodoxy your intellectually insulting,0:32-0:56,String Theory,A theoretical framework in physics that attempts to reconcile quantum mechanics and general relativity by postulating that the fundamental building blocks of the universe are one-dimensional strings rather than point-like particles.,Undergraduate
physics department and less time on YouTube so we're not allowed to think about Eric's theory and write a follow-up paper about it and although you're very much Sean I have my disagreements with string theorists my agreements with them but I respect it and I think that they're trying their best the first rule of physics fight club is don't talk about the problems with physics fight club i have found myself in the awkward and unenviable position of defending the establishment heterodoxy your intellectually insulting,0:32-0:56,General Relativity,"A theory of gravitation developed by Albert Einstein, which describes gravity as the curvature of spacetime caused by massive objects.",High School
physics department and less time on YouTube so we're not allowed to think about Eric's theory and write a follow-up paper about it and although you're very much Sean I have my disagreements with string theorists my agreements with them but I respect it and I think that they're trying their best the first rule of physics fight club is don't talk about the problems with physics fight club i have found myself in the awkward and unenviable position of defending the establishment heterodoxy your intellectually insulting,0:32-0:56,Quantum Mechanics,"A branch of physics that studies the behavior of matter and energy at the smallest scales, where the principles of classical mechanics do not apply.",High School
uh aspect reminds me of you as the Maran Twinette of theoretical physics influencer given I've only understood about one tenth of what either of you has said for the last hour i would like to end on a point where none of us know the answer to something for centuries scientists have grappled with the most fundamental question of them all what is reality well up until the 20th century it was considered to be a matter of common sense we lived in a material and objective reality perhaps created by God but one that could be accurately,1:02-1:28,Materialism vs. Idealism,"The debate between the nature of reality, whether it is physical (material) or non-physical (ideal)",High School
uh aspect reminds me of you as the Maran Twinette of theoretical physics influencer given I've only understood about one tenth of what either of you has said for the last hour i would like to end on a point where none of us know the answer to something for centuries scientists have grappled with the most fundamental question of them all what is reality well up until the 20th century it was considered to be a matter of common sense we lived in a material and objective reality perhaps created by God but one that could be accurately,1:02-1:28,Determinism vs. Indeterminism,The question of whether the universe is deterministic (predictable) or indeterminate (random and unpredictable),Undergraduate
measured and predicted and then came Einstein who revolutionized everything by saying that things were a lot more relative than all that space could bend time mysterious black holes existed the universe was expanding but even Albert Einstein failed to truly grapple with what came next the wild world of quantum physics where nothing plays by the rules even Einstein's and things seem to exist in two places at once today the biggest brains on the planet are loggerheads over what this all means and where science goes next are there multiple,1:33-1:59,Theory of Relativity,"Einstein's theory that space and time are relative, not absolute.",High School
measured and predicted and then came Einstein who revolutionized everything by saying that things were a lot more relative than all that space could bend time mysterious black holes existed the universe was expanding but even Albert Einstein failed to truly grapple with what came next the wild world of quantum physics where nothing plays by the rules even Einstein's and things seem to exist in two places at once today the biggest brains on the planet are loggerheads over what this all means and where science goes next are there multiple,1:33-1:59,General Relativity,Einstein's theory that gravity is the curvature of spacetime caused by massive objects.,Undergraduate
