index,speaker,start_time,end_time,duration,youtube_timestamps,text,concept_name,explanation_of_concept,education_level
0,Piers,0.002,5.859,5.857,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=0, What is your main bone of contention with Eric Weinstein? You should probably ask Eric that.,Critical Thinking,"The ability to objectively evaluate information and arguments, often in the context of scientific or philosophical discussions.",Undergraduate
0,Piers,0.002,5.859,5.857,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=0, What is your main bone of contention with Eric Weinstein? You should probably ask Eric that.,Skepticism,"A mindset that questions assumptions and evidence, often used to critically evaluate claims or theories.",High School
1,Eric,5.859,23.617,17.758,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=5," Sean has been nothing but civil. He's also extremely nasty. So let me say a bunch of things to Dr. Carroll. Dr. Carroll, I'd like to hear your explanation for three generations of flavor chiral fermions with the observed quantum numbers under the group SU3 plus, SU2, or SU1.",SU(3) symmetry,A fundamental concept in particle physics describing the strong nuclear force and the behavior of quarks.,Undergraduate
1,Eric,5.859,23.617,17.758,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=5," Sean has been nothing but civil. He's also extremely nasty. So let me say a bunch of things to Dr. Carroll. Dr. Carroll, I'd like to hear your explanation for three generations of flavor chiral fermions with the observed quantum numbers under the group SU3 plus, SU2, or SU1.",Chiral fermions,"Fermions that exhibit chirality, a property related to their spin and momentum under Lorentz transformations.",Graduate
1,Eric,5.859,23.617,17.758,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=5," Sean has been nothing but civil. He's also extremely nasty. So let me say a bunch of things to Dr. Carroll. Dr. Carroll, I'd like to hear your explanation for three generations of flavor chiral fermions with the observed quantum numbers under the group SU3 plus, SU2, or SU1.",SU(2) symmetry,A fundamental concept in particle physics describing the weak nuclear force and the behavior of quarks and leptons.,Undergraduate
2,Sean,23.617,29.617,6.0,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=23, read Eric's paper. Here it is. I actually have it here. It's worse than you think. How dare you? How dare you read your,,,
3,Eric,29.617,34.867,5.25,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=29, paper? I highly advise you to spend more time in your physics department and less time on YouTube.,Physics Department,"A department within a university that focuses on the study of physical phenomena, including mechanics, thermodynamics, electromagnetism, and more.",Undergraduate
3,Eric,29.617,34.867,5.25,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=29, paper? I highly advise you to spend more time in your physics department and less time on YouTube.,Mechanics,"The branch of physics that deals with the motion of objects, forces, energy, and momentum.",High School
4,Sean,34.867,38.617,3.75,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=34, We're not allowed to think about Eric's theory and write a follow-up paper about,Theory,"A well-substantiated explanation of some aspect of the natural world, based on a body of facts that have been repeatedly confirmed through observation and experiment.",Undergraduate
4,Sean,34.867,38.617,3.75,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=34, We're not allowed to think about Eric's theory and write a follow-up paper about,Scientific Paper,"A formal document detailing original research or an analysis of existing research in a particular field, typically presented at conferences or published in academic journals.",Graduate
5,Piers,38.617,39.367,0.75,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=38, about it.,,,
6,Eric,39.367,40.867,1.5,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=39, you're very much allowed.,,,
7,Sean,40.867,46.878,6.011,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=40," Sean. I have my disagreements with string theorists, my agreements with them, but I respect it and I think that they're",String Theory,A theoretical framework in physics that attempts to reconcile quantum mechanics and general relativity.,Undergraduate
8,Eric,46.978,53.123,6.145,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=46, trying their best. The first rule of physics fight club is don't talk about the problems with physics fight club.,Conservation of Energy,"The total energy of a closed system remains constant over time, but can be converted from one form to another.",High School
8,Eric,46.978,53.123,6.145,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=46, trying their best. The first rule of physics fight club is don't talk about the problems with physics fight club.,Potential vs Kinetic Energy,Energy that is stored in an object due to its position or configuration (potential energy) versus the energy of motion (kinetic energy).,High School
9,Sean,53.123,59.123,6.0,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=53, I have found myself in the awkward and unenviable position of defending the establishment,Conservation of Momentum,The total momentum before a collision is equal to the total momentum after a collision.,High School
9,Sean,53.123,59.123,6.0,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=53, I have found myself in the awkward and unenviable position of defending the establishment,Newton's Third Law,"For every action, there is an equal and opposite reaction.",High School
10,Piers,59.123,59.873,0.75,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=59, heterodoxy.,,,
11,Eric,59.873,67.71,7.837,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=59, Your intellectually insulting aspect reminds me of you as the Marie Antoinette of theoretical physics influencer.,Theory of Relativity,A fundamental concept in modern physics that describes the relationship between space and time.,Undergraduate
11,Eric,59.873,67.71,7.837,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=59, Your intellectually insulting aspect reminds me of you as the Marie Antoinette of theoretical physics influencer.,Quantum Mechanics,A branch of physics that studies the behavior of matter and energy at the atomic and subatomic level.,Graduate
12,Piers,67.874,78.398,10.524,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=67," Given I've only understood about one tenth of what either of you have said for the last hour, I would like to end on a point where none of us know the answer to something.",Uncertainty Principle,A fundamental concept in quantum mechanics that states it is impossible to precisely know both the position and momentum of a particle at the same time.,Undergraduate
12,Piers,67.874,78.398,10.524,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=67," Given I've only understood about one tenth of what either of you have said for the last hour, I would like to end on a point where none of us know the answer to something.",Information Paradox,"A paradox related to black holes, where the laws of quantum mechanics seem to conflict with general relativity, leading to questions about what happens to information contained in matter that falls into a black hole.",Graduate
13,Piers,79.778,174.846,95.068,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=79," For centuries, scientists have grapple with the most fundamental question of them all. What is reality? Well, up until the 20th century, it's considered to be a matter of common sense. We lived in a material and objective reality, perhaps created by God, but one that could be accurately measured and predicted. And then came Einstein, who revolutionized everything by saying that things were a lot more relative than all that. Space could bend time. Mysterious black holes existed. The universe was expanding. But even Albert Einstein failed to truly grapple with what came next. The wild world of quantum physics, where nothing plays by the rules, even Einstein's, and things seem to exist in two places at once. Today, the biggest brains on the planet are loggerheads over what this all means and where science goes next. Are there multiple universes? Do we live in a matrix-style simulation? Could there be an intelligent designer? For the special uncensored debate, I'm joined by two scientists with very different answers to the very big question. Sean Carroll is Professor of Physics and Philosophy at Johns Hopkins University. He hosts his own podcast, Mindscape, and draws audiences of millions elsewhere. Dr. Eric Weinstein is a Harvard-educated mathematician. His appearances on the Joe Rogan show alone have been viewed 26 million times. He's a regular guest on Unsensit. And despite both being scientific podcasting rock stars, Dr. Weinstein and Professor Carroll have never actually appeared together until now. So welcome to you gentlemen. And thank you for agreeing to lock horns, very, I have to say, very intelligent horns. Dr. Carroll, let me ask you first of all this, are we actually here?",Relativity,"The theory that space and time are relative, and can be affected by gravity and motion.",High School
